coreid,dwc.countr,idigbio.is,dwc.geodet,idigbio.ge,idigbio.lo,idigbio.la,idigbio.ev,idigbio._1,dwc.scient,ac.accessU,range,leaf_area_cm^2,pixelpercm,int_length_cm,initials,date_collected,notes
9441dd75-5766-4ce8-aeb6-7590cfe4b832,netherlands,nld,WGS84,"{""lat"": 52.058757, ""lon"": 4.694586}",4.694586,52.058757,1934,8/12/34,lythrum salicaria,https://medialib.naturalis.nl/file/id/L.3331199/format/large,native,9.945,35.8337,4.4,ML,11/17/25,
944a5c69-7a7e-4452-a0e2-77907f6c9875,united states,usa,WGS84,"{""lat"": 41.30182, ""lon"": -74.829675}",-74.829675,41.30182,1938,7/27/38,lythrum salicaria,https://mam.ansp.org/image/PH/Fullsize/00449/PH00449123.jpg,invasive,,,,ML,11/17/25,broken link
948c10c8-511a-44ee-a7b7-0b5b417f0445,norway,nor,WGS84,"{""lat"": 59.1061, ""lon"": 9.5587}",9.5587,59.1061,1888,1888/07/28,lythrum salicaria,https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13445809&type=jpeg,native,5.922,118,4.379,ML,11/17/25,
94a920fc-6c49-43b1-99c2-7e0345f50b90,netherlands,nld,WGS84,"{""lat"": 52.504678, ""lon"": 6.52866}",6.52866,52.504678,1977,8/14/77,lythrum salicaria,https://medialib.naturalis.nl/file/id/L.3331126/format/large,native,11.027,36.3337,4.285,ML,11/17/25,
94b71a92-f757-47de-9d20-7c3754951cf1,netherlands,nld,WGS84,"{""lat"": 52.1041, ""lon"": 4.766865}",4.766865,52.1041,1941,9/4/41,lythrum salicaria,https://medialib.naturalis.nl/file/id/L.3331290/format/large,native,3.084,35.8349,2.633,ML,11/17/25,
95003e1d-bfec-450a-b107-387c46200f92,united states,usa,WGS84,"{""lat"": 47.613617, ""lon"": -122.310098}",-122.310098,47.613617,1933,10/11/33,lythrum salicaria,https://www.pnwherbaria.org/images/jpeg.php?Image=WTU-V-022158.jpg,invasive,4.984,124,2.792,ML,11/17/25,
955b5b82-badb-414f-b9f3-4d39e7a930eb,norway,nor,WGS84,"{""lat"": 59.4371, ""lon"": 11.3098}",11.3098,59.4371,1926,7/30/26,lythrum salicaria,https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13419425&type=jpeg,native,5.717,118.5011,1.693,ML,11/17/25,
957ab8f8-d430-4a5b-81c6-cbbda093c3d5,united states,usa,WGS84,"{""lat"": 42.13819, ""lon"": -72.75611}",-72.75611,42.13819,1999,6/26/99,lythrum salicaria,https://neherbaria.org/imglib/cnh/WestfieldStateUniversity_WSCH/WSCH002/WSCH002912.jpg,invasive ,9.185,120,4.42,JB,10/28/25,the internode for this specific flower was challenging to tell. So I skipped it. 
959b0fd3-bf22-436c-9b37-536515ce6bd5,norway,nor,WGS84,"{""lat"": 59.1075, ""lon"": 5.5943}",5.5943,59.1075,1982,7/29/82,lythrum salicaria,https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13445817&type=jpeg,native,4.2,156,3.99,JB,10/28/25,
95dc2e92-e8a0-4dcb-866d-6a3029d97a1d,sweden,swe,WGS84,"{""lat"": 57.0956, ""lon"": 16.884}",16.884,57.0956,2011,7/8/11,lythrum salicaria,https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14116687&type=jpeg,native,5.1,111,1.778,JB,10/28/25,
